date,etf_open,etf_close,etf_chg,expiry,expiry_label,signal,day_trades,reversed,hedged,stop_loss,daily_pnl,daily_return,total_value,data_source
2026-03-20,3.337,3.341,1.15,2026-04-22,4月合约(剩6交易日),认购,4,False,True,False,92.43,0.000462,200092.43,真实分钟
2026-03-23,3.3,3.228,-3.382,2026-04-22,4月合约(剩5交易日),认沽,4,False,True,False,237.01,0.001185,200329.44,真实分钟
2026-03-24,3.275,3.237,0.279,2026-04-22,4月合约(剩4交易日),无,0,False,False,False,0.0,0.0,200329.44,真实分钟
2026-03-25,3.279,3.307,2.162,2026-04-22,4月合约(剩3交易日),认购,4,False,True,False,80.98,0.000404,200410.42,真实分钟
2026-03-26,3.306,3.263,-1.331,2026-04-22,4月合约(剩2交易日),无,0,False,False,False,0.0,0.0,200410.42,真实分钟
2026-03-27,3.241,3.293,0.919,2026-04-22,4月合约(剩1交易日),认沽,6,True,True,False,-74.94,-0.000374,200335.48,真实分钟
2026-03-30,3.242,3.264,-0.881,2026-04-22,4月合约(剩0交易日),认沽,6,True,True,False,40.24,0.000201,200375.72,真实分钟
