month,天数,月盈亏,胜率,最大盈利,最大亏损,反手次数,对冲次数,止损次数,月末净值
2026-01,19,-206.41,0.10526315789473684,79.0,-120.41,3,1,0,199793.59
2026-02,14,-463.59,0.21428571428571427,136.3,-365.05,2,1,0,199330.0
2026-03,21,-759.5299999999999,0.3333333333333333,203.41,-620.04,6,6,0,198570.47
